IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
kmeans_400_cinza_Im037,36460,11813,110159,1568,30.17,24.60,95.88,9.69, 
kmeans_400_cinza_Im019,41934,10345,104465,3256,32.67,28.02,92.79,9.01, 
kmeans_800_cinza_Im029,194045,63030,376724,6201,40.17,33.63,96.90,14.33, 
kmeans_800_cinza_Im067,189869,63321,368507,18303,39.56,32.92,91.21,14.66, 
kmeans_400_rgb_Im004,52980,8971,95760,2289,38.72,35.08,95.86,8.57, 
kmeans_400_rgb_Im027,43560,16650,92507,7283,37.63,30.39,85.68,15.25, 
kmeans_800_rgb_Im019,192061,17159,416869,13911,32.69,30.84,93.25,3.95, 
kmeans_400_rgb_Im022,38491,6996,109073,5440,28.43,25.16,87.62,6.03, 
kmeans_800_rgb_Im003,188888,26563,406276,18273,33.66,30.79,91.18,6.14, 
kmeans_400_cinza_Im083,40904,20814,88482,9800,38.57,29.39,80.67,19.04, 
kmeans_400_rgb_Im025,21958,20342,115919,1781,26.44,15.72,92.50,14.93, 
kmeans_400_cinza_Im066,42650,22116,91314,3920,40.48,30.93,91.58,19.50, 
kmeans_400_cinza_Im072,28011,15095,88276,28618,26.94,19.33,49.46,14.60, 
kmeans_800_rgb_Im062,129606,23976,447606,38812,24.00,21.04,76.95,5.08, 
kmeans_800_cinza_Im006,146366,115218,357381,21035,40.87,27.89,87.43,24.38, 
kmeans_800_cinza_Im014,109851,41582,484411,4156,23.66,18.36,96.35,7.91, 
kmeans_400_cinza_Im027,39006,21204,92700,7090,37.63,28.10,84.62,18.62, 
kmeans_800_cinza_Im054,173000,33579,416229,17192,32.28,28.53,90.96,7.47, 
kmeans_800_cinza_Im046,151148,40657,432825,15370,29.97,25.22,90.77,8.59, 
kmeans_400_rgb_Im066,55003,9763,89970,5264,40.48,36.61,91.27,9.79, 
kmeans_800_cinza_Im061,137774,50750,424458,27018,29.46,23.38,83.60,10.68, 
kmeans_800_rgb_Im076,144744,54557,311062,129637,31.14,24.72,52.75,14.92, 
kmeans_800_rgb_Im041,163530,35519,434807,6144,31.10,27.05,96.38,7.55, 
kmeans_400_rgb_Im024,25620,23210,108433,2737,30.52,18.73,90.35,17.63, 
kmeans_400_cinza_Im031,32303,11714,112457,3526,27.51,21.78,90.16,9.43, 
kmeans_400_rgb_Im079,44989,7689,97277,10045,32.92,29.54,81.75,7.33, 
kmeans_400_rgb_Im068,55396,5155,81033,18416,37.84,35.78,75.05,5.98, 
kmeans_400_rgb_Im014,30050,7806,121098,1046,23.66,19.74,96.64,6.06, 
kmeans_400_rgb_Im057,33318,7678,110291,8713,25.62,21.87,79.27,6.51, 
kmeans_400_rgb_Im080,57338,2008,97431,3223,37.09,36.29,94.68,2.02, 
kmeans_800_cinza_Im083,163610,83204,354063,39123,38.56,29.38,80.70,19.03, 
kmeans_400_rgb_Im040,32116,4904,122314,666,23.14,20.71,97.97,3.85, 
kmeans_800_cinza_Im036,160388,38253,438396,2963,31.04,26.65,98.19,8.03, 
kmeans_800_cinza_Im042,145712,49775,436284,8229,30.54,24.69,94.65,10.24, 
kmeans_800_rgb_Im068,220334,21877,325812,71977,37.85,35.65,75.38,6.29, 
kmeans_400_cinza_Im085,46455,25544,83490,4511,45.00,34.55,91.15,23.43, 
kmeans_400_cinza_Im070,36576,16442,102783,4199,33.14,25.48,89.70,13.79, 
kmeans_400_rgb_Im023,40051,7108,106064,6777,29.47,26.20,85.53,6.28, 
kmeans_800_rgb_Im042,162370,33117,437253,7260,30.54,26.75,95.72,7.04, 
kmeans_800_cinza_Im062,121388,32194,451505,34913,24.00,19.97,77.66,6.66, 
kmeans_400_cinza_Im046,37743,10193,108181,3883,29.96,25.19,90.67,8.61, 
kmeans_800_rgb_Im047,149904,54119,398978,36999,31.88,25.59,80.20,11.94, 
kmeans_800_cinza_Im080,186386,50846,395988,6780,37.07,31.64,96.49,11.38, 
kmeans_800_rgb_Im056,209212,7523,383789,39476,33.86,33.08,84.13,1.92, 
kmeans_800_cinza_Im011,122491,29195,448808,39506,23.70,20.05,75.61,6.11, 
kmeans_400_cinza_Im055,47154,6506,88825,17515,33.54,30.72,72.92,6.82, 
kmeans_400_cinza_Im075,43406,16994,76259,23341,37.75,30.35,65.03,18.22, 
kmeans_800_cinza_Im084,191313,67790,345817,35080,40.48,33.43,84.50,16.39, 
kmeans_800_cinza_Im040,115707,32463,489391,2439,23.15,19.05,97.94,6.22, 
kmeans_800_cinza_Im015,114034,49700,473984,2282,25.58,19.32,98.04,9.49, 
kmeans_800_rgb_Im036,168875,29766,438282,3077,31.04,27.67,98.21,6.36, 
kmeans_400_rgb_Im084,57046,7717,86839,8398,40.48,37.46,87.17,8.16, 
kmeans_400_cinza_Im004,49169,12782,95801,2248,38.72,33.40,95.63,11.77, 
kmeans_800_rgb_Im052,194274,51497,386541,7688,38.40,33.01,96.19,11.76, 
kmeans_400_rgb_Im076,37637,12184,77590,32589,31.14,25.46,53.59,13.57, 
kmeans_400_cinza_Im078,37710,8898,76398,36994,29.13,24.96,50.48,10.43, 
kmeans_400_rgb_Im083,57229,4489,87769,10513,38.57,36.80,84.48,4.87, 
