IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
otsu_800_rgb_Im022,146511,434740,23309,35440,90.82,71.38,80.52,94.91
otsu_400_rgb_Im006,38558,88705,5923,26814,79.54,54.08,58.98,93.74
otsu_400_cinza_Im084,46762,87437,7800,18001,83.87,64.44,72.20,91.81
otsu_800_rgb_Im055,188626,355486,69828,26060,85.02,66.30,87.86,83.58
otsu_400_cinza_Im026,40276,81794,21015,16915,76.29,51.50,70.42,79.56
otsu_400_cinza_Im050,47054,99238,2249,11459,91.43,77.44,80.42,97.78
otsu_800_cinza_Im062,123327,448027,38391,30255,89.27,64.24,80.30,92.11
otsu_800_cinza_Im070,146192,411181,16732,65895,87.09,63.89,68.93,96.09
otsu_800_rgb_Im029,198381,376249,6676,58694,89.79,75.22,77.17,98.26
otsu_800_rgb_Im025,78888,464784,6098,90230,84.95,45.02,46.65,98.70
otsu_400_rgb_Im054,43268,104036,4297,8399,92.06,77.31,83.74,96.03
otsu_400_rgb_Im042,36433,109072,2062,12433,90.94,71.54,74.56,98.14
otsu_800_cinza_Im001,74030,456901,4715,104354,82.96,40.43,41.50,98.98
otsu_800_rgb_Im074,149203,384332,24501,81964,83.36,58.36,64.54,94.01
otsu_800_cinza_Im032,71123,414716,93050,61111,75.91,31.57,53.79,81.67
otsu_800_rgb_Im014,109867,484402,4165,41566,92.85,70.61,72.55,99.15
otsu_400_rgb_Im071,34285,103789,6201,15725,86.30,60.99,68.56,94.36
otsu_800_cinza_Im057,119344,439930,36110,44616,87.39,59.65,72.79,92.41
otsu_800_cinza_Im084,186992,349853,31044,72111,83.88,64.45,72.17,91.85
otsu_800_cinza_Im055,188706,355470,69844,25980,85.03,66.32,87.90,83.58
otsu_800_rgb_Im085,192715,331311,20711,95263,81.88,62.43,66.92,94.12
otsu_800_cinza_Im028,186050,398983,4769,50198,91.41,77.19,78.75,98.82
otsu_800_rgb_Im075,173462,305178,93304,68056,74.79,51.81,71.82,76.59
otsu_800_cinza_Im011,124384,442282,46032,27302,88.54,62.91,82.00,90.57
