IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
watersherd_400_rgb_Im025,37688,4612,79755,37945,26.44,24.25,49.83,5.47, 
watersherd_800_cinza_Im083,246814,0,135321,257865,38.56,38.56,48.91,0.00, 
watersherd_800_rgb_Im086,226228,12491,244795,156486,37.30,36.05,59.11,4.85, 
watersherd_800_cinza_Im059,195616,106,207787,236491,30.58,30.57,45.27,0.05, 
watersherd_400_rgb_Im001,38812,5780,111651,3757,27.87,25.17,91.17,4.92, 
watersherd_800_cinza_Im084,259103,0,82078,298819,40.48,40.48,46.44,0.00, 
watersherd_800_rgb_Im012,220654,0,257844,161502,34.48,34.48,57.74,0.00, 
watersherd_800_rgb_Im032,132234,0,66144,441622,20.66,20.66,23.04,0.00, 
watersherd_400_cinza_Im023,43088,4071,82651,30190,29.47,27.63,58.80,4.69, 
watersherd_800_rgb_Im029,255456,1619,306479,76446,40.17,40.02,76.97,0.53, 
watersherd_400_cinza_Im086,50174,9456,58238,42132,37.27,33.33,54.36,13.97, 
watersherd_800_rgb_Im082,185937,96,117211,336756,29.07,29.06,35.57,0.08, 
watersherd_800_rgb_Im054,206567,12,304944,128477,32.28,32.28,61.65,0.00, 
watersherd_400_cinza_Im070,45793,7225,58405,48577,33.14,29.97,48.52,11.01, 
watersherd_800_cinza_Im046,191805,0,258561,189634,29.97,29.97,50.28,0.00, 
watersherd_400_rgb_Im066,64515,251,48637,46597,40.48,40.39,58.06,0.51, 
watersherd_400_cinza_Im061,42080,5048,82453,30419,29.45,27.16,58.04,5.77, 
watersherd_400_rgb_Im058,43298,5840,81246,29616,30.71,28.09,59.38,6.71, 
watersherd_800_cinza_Im074,231167,0,87486,321347,36.12,36.12,41.84,0.00, 
watersherd_800_rgb_Im076,193973,5328,70860,369839,31.14,30.56,34.40,6.99, 
watersherd_800_rgb_Im057,159388,4572,151190,324850,25.62,25.08,32.92,2.94, 
watersherd_400_cinza_Im012,55176,5,65343,39476,34.49,34.49,58.29,0.01, 
watersherd_800_cinza_Im042,191690,3797,271739,172774,30.54,30.13,52.60,1.38, 
watersherd_800_rgb_Im072,172423,0,42398,425179,26.94,26.94,28.85,0.00, 
watersherd_400_cinza_Im001,39121,5471,102837,12571,27.87,25.32,75.68,5.05, 
watersherd_800_cinza_Im041,185375,13674,379828,61123,31.10,29.60,75.20,3.47, 
watersherd_400_cinza_Im075,60400,0,19111,80489,37.75,37.75,42.87,0.00, 
watersherd_400_cinza_Im071,44689,5321,57134,52856,31.26,28.89,45.81,8.52, 
watersherd_400_rgb_Im084,61275,3488,48871,46366,40.48,39.15,56.93,6.66, 
watersherd_400_rgb_Im083,56809,4909,48837,49445,38.57,36.63,53.47,9.13, 
watersherd_800_cinza_Im031,176245,0,179067,284688,27.54,27.54,38.24,0.00, 
watersherd_800_cinza_Im072,172265,158,116670,350907,26.94,26.92,32.93,0.14, 
watersherd_800_cinza_Im003,212953,2498,282728,141821,33.66,33.40,60.02,0.88, 
watersherd_800_rgb_Im019,209185,35,364539,66241,32.69,32.69,75.95,0.01, 
watersherd_400_rgb_Im040,32232,4788,116731,6249,23.14,20.77,83.76,3.94, 
watersherd_800_rgb_Im062,149203,4379,208659,277759,24.00,23.47,34.95,2.06, 
watersherd_800_cinza_Im011,151686,0,156090,332224,23.70,23.70,31.35,0.00, 
watersherd_400_rgb_Im011,35727,2205,59612,62456,23.71,22.64,36.39,3.57, 
watersherd_800_rgb_Im063,148098,1926,208028,281948,23.44,23.21,34.44,0.92, 
watersherd_800_rgb_Im080,236654,578,227676,175092,37.07,37.01,57.48,0.25, 
watersherd_400_rgb_Im079,52678,0,34001,73321,32.92,32.92,41.81,0.00, 
watersherd_800_cinza_Im086,229040,9679,185360,215921,37.30,36.34,51.47,4.96, 
watersherd_400_cinza_Im041,42415,7352,100032,10201,31.10,27.79,80.61,6.85, 
watersherd_800_rgb_Im047,202680,1343,121931,314046,31.88,31.74,39.22,1.09, 
watersherd_800_cinza_Im057,163952,8,134241,341799,25.62,25.62,32.42,0.01, 
watersherd_400_cinza_Im006,63822,1550,45919,48709,40.86,40.28,56.72,3.27, 
watersherd_400_rgb_Im036,44855,4804,103997,6344,31.04,28.90,87.61,4.42, 
watersherd_800_rgb_Im028,231044,5204,296448,107304,36.91,36.40,68.29,1.73, 
watersherd_400_rgb_Im063,37059,450,55629,66862,23.44,23.23,35.66,0.80, 
watersherd_400_cinza_Im036,45764,3895,101731,8610,31.04,29.32,84.17,3.69, 
watersherd_400_rgb_Im004,61625,326,47575,50474,38.72,38.59,54.97,0.68, 
watersherd_400_rgb_Im062,36513,1894,61885,59708,24.00,23.09,37.95,2.97, 
watersherd_400_rgb_Im029,61948,2275,92963,2814,40.14,39.28,95.65,2.39, 
watersherd_800_cinza_Im023,187478,1259,235336,215927,29.49,29.35,46.47,0.53, 
watersherd_800_rgb_Im011,151686,0,149742,338572,23.70,23.70,30.94,0.00, 
watersherd_800_rgb_Im052,218025,27746,336348,57881,38.40,35.61,79.02,7.62, 
watersherd_800_rgb_Im085,274685,13293,226625,125397,45.00,43.83,68.66,5.54, 
watersherd_400_cinza_Im068,59682,869,24385,75064,37.84,37.50,44.29,3.44, 
watersherd_400_cinza_Im052,52689,8743,91816,6752,38.40,34.83,88.64,8.69, 
watersherd_800_cinza_Im012,220654,0,256934,162412,34.48,34.48,57.60,0.00, 
watersherd_800_cinza_Im025,160071,9047,252647,218235,26.42,25.37,42.31,3.46, 
watersherd_800_cinza_Im063,149738,286,191362,298614,23.44,23.41,33.40,0.15, 
watersherd_400_cinza_Im033,41571,878,36301,81250,26.53,26.13,33.85,2.36, 
watersherd_400_rgb_Im028,54657,4386,92508,8449,36.90,35.12,86.61,4.53, 
watersherd_400_rgb_Im012,51647,3534,75683,29136,34.49,33.01,63.93,4.46, 
watersherd_400_cinza_Im032,33059,0,17045,109896,20.66,20.66,23.13,0.00, 
watersherd_800_cinza_Im052,244080,1691,337059,57170,38.40,38.24,81.02,0.50, 
watersherd_800_cinza_Im081,244738,27,187051,208184,38.24,38.24,54.04,0.01, 
watersherd_400_rgb_Im076,48209,1612,18338,91841,31.14,30.44,34.42,8.08, 
watersherd_800_rgb_Im071,199864,122,237104,202910,31.25,31.23,49.62,0.05, 
watersherd_800_rgb_Im078,186309,0,46195,407496,29.11,29.11,31.38,0.00, 
watersherd_800_rgb_Im031,175187,1058,188957,274798,27.54,27.42,38.93,0.56, 
watersherd_400_cinza_Im083,54676,7042,44121,54161,38.57,35.75,50.24,13.76, 
watersherd_800_rgb_Im058,195552,994,227029,216425,30.71,30.60,47.47,0.44, 
watersherd_400_cinza_Im078,46608,0,25491,87901,29.13,29.13,34.65,0.00, 
watersherd_800_rgb_Im014,148275,3158,316026,172541,23.66,23.28,46.22,0.99, 
watersherd_400_rgb_Im060,49320,23,24707,85950,30.84,30.83,36.46,0.09, 
watersherd_400_rgb_Im057,40205,791,44379,74625,25.62,25.25,35.01,1.75, 
watersherd_400_rgb_Im055,53227,433,56225,50115,33.54,33.36,51.51,0.76, 
watersherd_800_cinza_Im032,132234,0,77848,429918,20.66,20.66,23.52,0.00, 
watersherd_800_rgb_Im050,233071,1035,214562,191332,36.58,36.48,54.92,0.48, 
watersherd_400_rgb_Im019,50129,2150,102951,4770,32.67,31.76,91.31,2.05, 
watersherd_400_rgb_Im068,60038,513,29949,69500,37.84,37.64,46.35,1.68, 
watersherd_400_rgb_Im003,52365,1504,92756,13375,33.67,33.04,79.65,1.60, 
watersherd_400_cinza_Im031,43569,448,69211,46772,27.51,27.31,48.23,0.64, 
watersherd_800_cinza_Im076,198296,1005,77822,362877,31.14,31.03,35.34,1.27, 
watersherd_400_cinza_Im056,53148,1123,67690,38039,33.92,33.45,58.28,1.63, 
watersherd_800_cinza_Im004,247890,0,130715,261395,38.73,38.73,48.67,0.00, 
watersherd_400_rgb_Im080,58250,1096,93290,7364,37.09,36.66,88.78,1.16, 
watersherd_400_rgb_Im074,48908,8908,41234,60950,36.13,32.37,44.52,17.77, 
watersherd_400_rgb_Im067,58705,4610,86618,10067,39.57,37.78,85.36,5.05, 
watersherd_800_cinza_Im037,181002,12166,346315,100517,30.18,28.83,64.29,3.39, 
watersherd_400_cinza_Im046,47096,840,59978,52086,29.96,29.59,47.48,1.38, 
watersherd_400_cinza_Im079,52661,17,24976,82346,32.92,32.92,39.01,0.07, 
watersherd_400_cinza_Im022,42940,2547,83019,31494,28.43,27.27,57.69,2.98, 
watersherd_800_cinza_Im040,144086,4084,360080,131750,23.15,22.66,52.24,1.12, 
watersherd_800_cinza_Im070,212087,0,149154,278759,33.14,33.14,43.21,0.00, 
watersherd_800_rgb_Im037,168044,25124,437235,9597,30.18,27.33,94.60,5.43, 
watersherd_400_rgb_Im081,58561,2610,94034,4795,38.23,37.21,92.43,2.70, 
watersherd_800_cinza_Im085,287526,452,136116,215906,45.00,44.96,57.11,0.33, 
watersherd_800_cinza_Im075,241518,0,57130,341352,37.74,37.74,41.44,0.00, 
watersherd_400_rgb_Im022,45406,81,74251,40262,28.43,28.39,53.00,0.11, 
watersherd_400_cinza_Im019,50387,1892,95547,12174,32.67,31.87,80.54,1.94, 
watersherd_400_rgb_Im020,46395,9643,88679,15283,35.02,30.86,75.22,9.81, 
watersherd_800_cinza_Im036,191486,7155,356919,84440,31.04,30.26,69.40,1.97, 
watersherd_800_rgb_Im024,132082,63135,226832,217951,30.50,22.90,37.73,21.77, 
watersherd_800_rgb_Im059,195700,22,195627,248651,30.58,30.58,44.04,0.01, 
watersherd_400_cinza_Im081,59076,2095,71212,27617,38.23,37.41,68.14,2.86, 
watersherd_400_cinza_Im029,56610,7613,89498,6279,40.14,37.15,90.02,7.84, 
watersherd_800_rgb_Im041,187618,11431,362430,78521,31.10,29.85,70.50,3.06, 
watersherd_800_cinza_Im080,237097,135,190564,212204,37.07,37.05,52.77,0.07, 
watersherd_800_rgb_Im070,211884,203,244374,183539,33.14,33.12,53.58,0.08, 
watersherd_800_cinza_Im014,151397,36,311951,176616,23.66,23.66,46.16,0.01, 
watersherd_400_cinza_Im085,68553,3446,43908,44093,45.00,43.79,60.86,7.28, 
watersherd_400_cinza_Im027,58499,1711,53964,45826,37.63,36.96,56.07,3.07, 
watersherd_800_rgb_Im036,181699,16942,411047,30312,31.04,29.16,85.70,3.96, 
watersherd_800_rgb_Im056,211725,5010,264241,159024,33.86,33.34,57.11,1.86, 
watersherd_800_cinza_Im001,171381,7003,403439,58177,27.87,27.07,74.66,1.71, 
watersherd_800_rgb_Im079,210701,0,91912,337387,32.92,32.92,38.44,0.00, 
watersherd_800_rgb_Im074,227852,3315,161116,247717,36.12,35.79,47.91,2.02, 
watersherd_800_rgb_Im083,233123,13691,201968,191218,38.56,37.22,54.94,6.35, 
watersherd_400_cinza_Im003,52603,1266,88055,18076,33.67,33.14,74.43,1.42, 
watersherd_400_rgb_Im006,63604,1768,58074,36554,40.86,40.20,63.50,2.95, 
watersherd_800_cinza_Im047,204023,0,125349,310628,31.88,31.88,39.64,0.00, 
watersherd_800_rgb_Im020,222038,2078,265803,150081,35.02,34.81,59.67,0.78, 
watersherd_800_cinza_Im060,196099,1180,94115,348606,30.82,30.70,36.00,1.24, 
watersherd_800_cinza_Im062,150205,3377,226892,259526,24.00,23.59,36.66,1.47, 
watersherd_800_rgb_Im055,210768,3918,217531,207783,33.54,33.14,50.36,1.77, 
watersherd_400_rgb_Im050,56544,1969,74841,26646,36.57,35.78,67.97,2.56, 
watersherd_400_rgb_Im082,46475,32,34925,78568,29.07,29.05,37.17,0.09, 
watersherd_400_cinza_Im026,56083,1108,36501,66308,35.74,35.30,45.82,2.95, 
watersherd_400_rgb_Im046,46734,1202,86033,26031,29.96,29.43,64.23,1.38, 
watersherd_800_rgb_Im075,241518,0,71283,327199,37.74,37.74,42.47,0.00, 
watersherd_800_cinza_Im019,207650,1570,373151,57629,32.69,32.53,78.28,0.42, 
watersherd_400_cinza_Im050,56906,1607,65646,35841,36.57,35.93,61.36,2.39, 
watersherd_400_rgb_Im078,46608,0,16796,96596,29.13,29.13,32.55,0.00, 
watersherd_800_rgb_Im066,252217,6766,178116,202901,40.47,39.83,55.42,3.66, 
watersherd_400_cinza_Im063,36416,1093,60557,61934,23.44,22.92,37.03,1.77, 
watersherd_400_rgb_Im023,45429,1730,68722,44119,29.47,28.70,50.73,2.46, 
watersherd_400_rgb_Im015,34152,6778,118162,908,25.58,22.29,97.41,5.43, 
watersherd_400_cinza_Im059,48943,8,57941,53108,30.59,30.59,47.96,0.01, 
watersherd_800_rgb_Im068,242105,106,88412,309377,37.85,37.84,43.90,0.12, 
watersherd_800_cinza_Im068,240360,1851,71266,326523,37.85,37.67,42.40,2.53, 
watersherd_400_cinza_Im025,36977,5323,80288,37412,26.44,23.91,49.71,6.22, 
watersherd_400_cinza_Im072,43106,0,11867,105027,26.94,26.94,29.10,0.00, 
watersherd_400_rgb_Im047,50844,150,37032,71974,31.87,31.81,41.40,0.40, 
watersherd_400_cinza_Im060,49244,99,25019,85638,30.84,30.80,36.51,0.39, 
watersherd_800_cinza_Im078,186309,0,59125,394566,29.11,29.11,32.07,0.00, 
watersherd_800_cinza_Im026,228573,215,112711,298501,35.75,35.73,43.37,0.19, 
watersherd_400_cinza_Im074,55754,2062,35757,66427,36.13,35.30,45.63,5.45, 
watersherd_400_cinza_Im004,61408,543,54379,43670,38.72,38.51,58.44,0.99, 
watersherd_400_rgb_Im061,45169,1959,90872,22000,29.45,28.58,67.25,2.11, 
watersherd_800_cinza_Im028,234299,1949,258521,145231,36.91,36.72,61.73,0.75, 
watersherd_400_cinza_Im020,49470,6568,86232,17730,35.02,32.24,73.62,7.08, 
watersherd_800_rgb_Im077,285125,8971,291243,54661,45.95,45.18,83.91,2.99, 
watersherd_800_cinza_Im015,156500,7234,382122,94144,25.58,24.73,62.44,1.86, 
watersherd_400_cinza_Im067,63040,275,52804,43881,39.57,39.47,58.96,0.52, 
watersherd_400_rgb_Im072,42829,277,19410,97484,26.94,26.81,30.52,1.41, 
watersherd_400_cinza_Im042,47224,1642,67122,44012,30.54,29.82,51.76,2.39, 
watersherd_400_rgb_Im033,42082,367,33011,84540,26.53,26.36,33.23,1.10, 
watersherd_400_cinza_Im058,48911,227,56963,53899,30.71,30.61,47.57,0.40, 
watersherd_800_cinza_Im067,243366,9824,185226,201584,39.56,38.62,54.70,5.04, 
watersherd_400_rgb_Im026,52489,4702,48787,54022,35.74,33.80,49.28,8.79, 
watersherd_800_rgb_Im001,175004,3380,413305,48311,27.87,27.49,78.37,0.81, 
watersherd_800_rgb_Im046,191203,602,250232,197963,29.97,29.90,49.13,0.24, 
watersherd_800_rgb_Im006,261325,259,155194,223222,40.87,40.85,53.93,0.17, 
watersherd_800_cinza_Im020,221261,2855,314069,101815,35.02,34.73,68.49,0.90, 
watersherd_800_cinza_Im056,216529,206,219886,203379,33.86,33.84,51.57,0.09, 
watersherd_800_rgb_Im084,247226,11877,185839,195058,40.48,39.36,55.90,6.01, 
watersherd_800_cinza_Im054,202274,4305,334320,99101,32.28,31.82,67.12,1.27, 
watersherd_400_cinza_Im055,51474,2186,63942,42398,33.54,32.62,54.83,3.31, 
watersherd_400_rgb_Im085,67879,4120,56743,31258,45.00,43.55,68.47,6.77, 
